"reelId","batch","pillarCode","pillar","lensCode","lens","questionCode","question","lifecycle","evidenceStatus","driveVerification"
"0048","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q18","क्या विशेषज्ञों में मतभेद है?","planned","not_researched","not_uploaded"
"0049","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q19","प्रौद्योगिकी इसे कैसे बदलती है?","planned","not_researched","not_uploaded"
"0050","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q20","नींद, तनाव, या पर्यावरण की भूमिका क्या है?","planned","not_researched","not_uploaded"
"0051","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q21","हम अपने अनुमान कैसे जाँच सकते हैं?","planned","not_researched","not_uploaded"
"0052","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q22","इसे नैतिक रूप से कैसे समझें?","planned","not_researched","not_uploaded"
"0053","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q23","यह पहचान और भूमिका से कैसे जुड़ता है?","planned","not_researched","not_uploaded"
"0054","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q24","कब सहायता लेना ठीक है?","planned","not_researched","not_uploaded"
"0055","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q25","इस परंपरा का दृष्टिकोण क्या है?","planned","not_researched","not_uploaded"
"0056","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q26","विज्ञान इससे क्या अलग कहता है?","planned","not_researched","not_uploaded"
"0057","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q27","क्या छोटा परिवर्तन व्यवहार्य है?","planned","not_researched","not_uploaded"
"0058","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q28","कौन-सा डेटा अभी गायब है?","planned","not_researched","not_uploaded"
"0059","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q29","इससे जिज्ञासा कैसे बढ़ती है?","planned","not_researched","not_uploaded"
"0060","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q30","मुख्य सीख क्या है?","planned","not_researched","not_uploaded"
"0061","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q01","यह वास्तव में क्या है?","planned","not_researched","not_uploaded"
"0062","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q02","इसका सबसे आम भ्रम क्या है?","planned","not_researched","not_uploaded"
"0063","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q03","हम इसे रोज़मर्रा में कैसे पहचानते हैं?","planned","not_researched","not_uploaded"
"0064","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q04","इसके पीछे प्रस्तावित तंत्र क्या है?","planned","not_researched","not_uploaded"
"0065","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q05","कौन-सा प्रमाण सबसे मजबूत है?","planned","not_researched","not_uploaded"
"0066","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q06","किस बात पर शोध सहमत नहीं है?","planned","not_researched","not_uploaded"
"0067","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q07","कौन-सा छोटा, सुरक्षित अवलोकन किया जा सकता है?","planned","not_researched","not_uploaded"
"0068","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q08","यह आदत क्यों कठिन लगती है?","planned","not_researched","not_uploaded"
"0069","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q09","संदर्भ इसे कैसे बदलता है?","planned","not_researched","not_uploaded"
"0070","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q10","क्या यह कारण है या केवल संबंध?","planned","not_researched","not_uploaded"
"0071","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q11","भाषा इसे कैसे प्रभावित करती है?","planned","not_researched","not_uploaded"
"0072","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q12","समय के साथ यह कैसे बदलता है?","planned","not_researched","not_uploaded"
"0073","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q13","किस समूह पर निष्कर्ष लागू हुआ?","planned","not_researched","not_uploaded"
"0074","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q14","नापने में कठिनाई क्या है?","planned","not_researched","not_uploaded"
"0075","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q15","कौन-सी वैकल्पिक व्याख्या संभव है?","planned","not_researched","not_uploaded"
"0076","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q16","छोटी सफलता क्यों मायने रखती है?","planned","not_researched","not_uploaded"
"0077","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q17","कौन-सी सीमा उपयोगी है?","planned","not_researched","not_uploaded"
"0078","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q18","क्या विशेषज्ञों में मतभेद है?","planned","not_researched","not_uploaded"
"0079","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q19","प्रौद्योगिकी इसे कैसे बदलती है?","planned","not_researched","not_uploaded"
"0080","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q20","नींद, तनाव, या पर्यावरण की भूमिका क्या है?","planned","not_researched","not_uploaded"
"0081","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q21","हम अपने अनुमान कैसे जाँच सकते हैं?","planned","not_researched","not_uploaded"
"0082","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q22","इसे नैतिक रूप से कैसे समझें?","planned","not_researched","not_uploaded"
"0083","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q23","यह पहचान और भूमिका से कैसे जुड़ता है?","planned","not_researched","not_uploaded"
"0084","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q24","कब सहायता लेना ठीक है?","planned","not_researched","not_uploaded"
"0085","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q25","इस परंपरा का दृष्टिकोण क्या है?","planned","not_researched","not_uploaded"
"0086","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q26","विज्ञान इससे क्या अलग कहता है?","planned","not_researched","not_uploaded"
"0087","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q27","क्या छोटा परिवर्तन व्यवहार्य है?","planned","not_researched","not_uploaded"
"0088","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q28","कौन-सा डेटा अभी गायब है?","planned","not_researched","not_uploaded"
"0089","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q29","इससे जिज्ञासा कैसे बढ़ती है?","planned","not_researched","not_uploaded"
"0090","Batch_003","MND","Attention, mind, and consciousness","L03","Everyday observation","Q30","मुख्य सीख क्या है?","planned","not_researched","not_uploaded"
"0091","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q01","यह वास्तव में क्या है?","planned","not_researched","not_uploaded"
"0092","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q02","इसका सबसे आम भ्रम क्या है?","planned","not_researched","not_uploaded"
"0093","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q03","हम इसे रोज़मर्रा में कैसे पहचानते हैं?","planned","not_researched","not_uploaded"
"0094","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q04","इसके पीछे प्रस्तावित तंत्र क्या है?","planned","not_researched","not_uploaded"
"0095","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q05","कौन-सा प्रमाण सबसे मजबूत है?","planned","not_researched","not_uploaded"
"0096","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q06","किस बात पर शोध सहमत नहीं है?","planned","not_researched","not_uploaded"
"0097","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q07","कौन-सा छोटा, सुरक्षित अवलोकन किया जा सकता है?","planned","not_researched","not_uploaded"
"0098","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q08","यह आदत क्यों कठिन लगती है?","planned","not_researched","not_uploaded"
"0099","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q09","संदर्भ इसे कैसे बदलता है?","planned","not_researched","not_uploaded"
"0100","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q10","क्या यह कारण है या केवल संबंध?","planned","not_researched","not_uploaded"
"0101","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q11","भाषा इसे कैसे प्रभावित करती है?","planned","not_researched","not_uploaded"
"0102","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q12","समय के साथ यह कैसे बदलता है?","planned","not_researched","not_uploaded"
"0103","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q13","किस समूह पर निष्कर्ष लागू हुआ?","planned","not_researched","not_uploaded"
"0104","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q14","नापने में कठिनाई क्या है?","planned","not_researched","not_uploaded"
"0105","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q15","कौन-सी वैकल्पिक व्याख्या संभव है?","planned","not_researched","not_uploaded"
"0106","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q16","छोटी सफलता क्यों मायने रखती है?","planned","not_researched","not_uploaded"
"0107","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q17","कौन-सी सीमा उपयोगी है?","planned","not_researched","not_uploaded"
"0108","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q18","क्या विशेषज्ञों में मतभेद है?","planned","not_researched","not_uploaded"
"0109","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q19","प्रौद्योगिकी इसे कैसे बदलती है?","planned","not_researched","not_uploaded"
"0110","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q20","नींद, तनाव, या पर्यावरण की भूमिका क्या है?","planned","not_researched","not_uploaded"
"0111","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q21","हम अपने अनुमान कैसे जाँच सकते हैं?","planned","not_researched","not_uploaded"
"0112","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q22","इसे नैतिक रूप से कैसे समझें?","planned","not_researched","not_uploaded"
"0113","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q23","यह पहचान और भूमिका से कैसे जुड़ता है?","planned","not_researched","not_uploaded"
"0114","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q24","कब सहायता लेना ठीक है?","planned","not_researched","not_uploaded"
"0115","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q25","इस परंपरा का दृष्टिकोण क्या है?","planned","not_researched","not_uploaded"
"0116","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q26","विज्ञान इससे क्या अलग कहता है?","planned","not_researched","not_uploaded"
"0117","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q27","क्या छोटा परिवर्तन व्यवहार्य है?","planned","not_researched","not_uploaded"
"0118","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q28","कौन-सा डेटा अभी गायब है?","planned","not_researched","not_uploaded"
"0119","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q29","इससे जिज्ञासा कैसे बढ़ती है?","planned","not_researched","not_uploaded"
"0120","Batch_004","MND","Attention, mind, and consciousness","L04","Mechanism","Q30","मुख्य सीख क्या है?","planned","not_researched","not_uploaded"
"0121","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q01","यह वास्तव में क्या है?","planned","not_researched","not_uploaded"
"0122","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q02","इसका सबसे आम भ्रम क्या है?","planned","not_researched","not_uploaded"
"0123","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q03","हम इसे रोज़मर्रा में कैसे पहचानते हैं?","planned","not_researched","not_uploaded"
"0124","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q04","इसके पीछे प्रस्तावित तंत्र क्या है?","planned","not_researched","not_uploaded"
"0125","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q05","कौन-सा प्रमाण सबसे मजबूत है?","planned","not_researched","not_uploaded"
"0126","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q06","किस बात पर शोध सहमत नहीं है?","planned","not_researched","not_uploaded"
"0127","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q07","कौन-सा छोटा, सुरक्षित अवलोकन किया जा सकता है?","planned","not_researched","not_uploaded"
"0128","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q08","यह आदत क्यों कठिन लगती है?","planned","not_researched","not_uploaded"
"0129","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q09","संदर्भ इसे कैसे बदलता है?","planned","not_researched","not_uploaded"
"0130","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q10","क्या यह कारण है या केवल संबंध?","planned","not_researched","not_uploaded"
"0131","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q11","भाषा इसे कैसे प्रभावित करती है?","planned","not_researched","not_uploaded"
"0132","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q12","समय के साथ यह कैसे बदलता है?","planned","not_researched","not_uploaded"
"0133","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q13","किस समूह पर निष्कर्ष लागू हुआ?","planned","not_researched","not_uploaded"
"0134","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q14","नापने में कठिनाई क्या है?","planned","not_researched","not_uploaded"
"0135","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q15","कौन-सी वैकल्पिक व्याख्या संभव है?","planned","not_researched","not_uploaded"
"0136","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q16","छोटी सफलता क्यों मायने रखती है?","planned","not_researched","not_uploaded"
"0137","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q17","कौन-सी सीमा उपयोगी है?","planned","not_researched","not_uploaded"
"0138","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q18","क्या विशेषज्ञों में मतभेद है?","planned","not_researched","not_uploaded"
"0139","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q19","प्रौद्योगिकी इसे कैसे बदलती है?","planned","not_researched","not_uploaded"
"0140","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q20","नींद, तनाव, या पर्यावरण की भूमिका क्या है?","planned","not_researched","not_uploaded"
"0141","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q21","हम अपने अनुमान कैसे जाँच सकते हैं?","planned","not_researched","not_uploaded"
"0142","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q22","इसे नैतिक रूप से कैसे समझें?","planned","not_researched","not_uploaded"
"0143","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q23","यह पहचान और भूमिका से कैसे जुड़ता है?","planned","not_researched","not_uploaded"
"0144","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q24","कब सहायता लेना ठीक है?","planned","not_researched","not_uploaded"
"0145","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q25","इस परंपरा का दृष्टिकोण क्या है?","planned","not_researched","not_uploaded"
"0146","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q26","विज्ञान इससे क्या अलग कहता है?","planned","not_researched","not_uploaded"
"0147","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q27","क्या छोटा परिवर्तन व्यवहार्य है?","planned","not_researched","not_uploaded"
"0148","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q28","कौन-सा डेटा अभी गायब है?","planned","not_researched","not_uploaded"
"0149","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q29","इससे जिज्ञासा कैसे बढ़ती है?","planned","not_researched","not_uploaded"
"0150","Batch_005","MND","Attention, mind, and consciousness","L05","Evidence comparison","Q30","मुख्य सीख क्या है?","planned","not_researched","not_uploaded"
"0151","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q01","यह वास्तव में क्या है?","planned","not_researched","not_uploaded"
"0152","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q02","इसका सबसे आम भ्रम क्या है?","planned","not_researched","not_uploaded"
"0153","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q03","हम इसे रोज़मर्रा में कैसे पहचानते हैं?","planned","not_researched","not_uploaded"
"0154","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q04","इसके पीछे प्रस्तावित तंत्र क्या है?","planned","not_researched","not_uploaded"
"0155","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q05","कौन-सा प्रमाण सबसे मजबूत है?","planned","not_researched","not_uploaded"
"0156","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q06","किस बात पर शोध सहमत नहीं है?","planned","not_researched","not_uploaded"
"0157","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q07","कौन-सा छोटा, सुरक्षित अवलोकन किया जा सकता है?","planned","not_researched","not_uploaded"
"0158","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q08","यह आदत क्यों कठिन लगती है?","planned","not_researched","not_uploaded"
"0159","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q09","संदर्भ इसे कैसे बदलता है?","planned","not_researched","not_uploaded"
"0160","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q10","क्या यह कारण है या केवल संबंध?","planned","not_researched","not_uploaded"
"0161","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q11","भाषा इसे कैसे प्रभावित करती है?","planned","not_researched","not_uploaded"
"0162","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q12","समय के साथ यह कैसे बदलता है?","planned","not_researched","not_uploaded"
"0163","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q13","किस समूह पर निष्कर्ष लागू हुआ?","planned","not_researched","not_uploaded"
"0164","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q14","नापने में कठिनाई क्या है?","planned","not_researched","not_uploaded"
"0165","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q15","कौन-सी वैकल्पिक व्याख्या संभव है?","planned","not_researched","not_uploaded"
"0166","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q16","छोटी सफलता क्यों मायने रखती है?","planned","not_researched","not_uploaded"
"0167","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q17","कौन-सी सीमा उपयोगी है?","planned","not_researched","not_uploaded"
"0168","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q18","क्या विशेषज्ञों में मतभेद है?","planned","not_researched","not_uploaded"
"0169","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q19","प्रौद्योगिकी इसे कैसे बदलती है?","planned","not_researched","not_uploaded"
"0170","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q20","नींद, तनाव, या पर्यावरण की भूमिका क्या है?","planned","not_researched","not_uploaded"
"0171","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q21","हम अपने अनुमान कैसे जाँच सकते हैं?","planned","not_researched","not_uploaded"
"0172","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q22","इसे नैतिक रूप से कैसे समझें?","planned","not_researched","not_uploaded"
"0173","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q23","यह पहचान और भूमिका से कैसे जुड़ता है?","planned","not_researched","not_uploaded"
"0174","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q24","कब सहायता लेना ठीक है?","planned","not_researched","not_uploaded"
"0175","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q25","इस परंपरा का दृष्टिकोण क्या है?","planned","not_researched","not_uploaded"
"0176","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q26","विज्ञान इससे क्या अलग कहता है?","planned","not_researched","not_uploaded"
"0177","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q27","क्या छोटा परिवर्तन व्यवहार्य है?","planned","not_researched","not_uploaded"
"0178","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q28","कौन-सा डेटा अभी गायब है?","planned","not_researched","not_uploaded"
"0179","Batch_006","MND","Attention, mind, and consciousness","L06","Practical experiment","Q29","इससे जिज्ञासा कैसे बढ़ती है?","planned","not_researched","not_uploaded"
